ids,price
25258472.0,595
40141770.0,595
37715756.0,595
39754711.0,595
11256503.0,218
33755589.0,230
17137254.0,230
6480774.0,230
26327336.0,230
31052843.0,230
19101426.0,230
1917311.0,230
24937499.0,556
15287161.0,224
31058709.0,224
26152870.0,224
14841279.0,224
20634185.0,807
18523616.0,79
15283809.0,79
17820800.0,79
40631718.0,79
14144295.0,79
19424810.0,79
36658380.0,79
20413421.0,79
12466030.0,79
30245678.0,79
36110990.0,79
30426289.0,79
36603379.0,79
15289972.0,79
1721109.0,79
33163191.0,79
20737848.0,79
32234845.0,79
33534785.0,79
20120640.0,79
32672994.0,79
27398743.0,79
16246568.0,79
2499596.0,79
16545677.0,79
14250775.0,79
14529740.0,79
5814832.0,79
18077204.0,79
1185749.0,79
25213109.0,79
35496535.0,79
22559934.0,79
11969085.0,79
36603454.0,79
25911362.0,79
35480674.0,79
34360004.0,79
40612163.0,79
29947430.0,79
40530056.0,79
28564489.0,79
6757098.0,79
38924654.0,79
27308270.0,79
40633552.0,79
25008688.0,79
30295952.0,79
21677144.0,79
28382555.0,79
36727196.0,79
34359710.0,79
29339327.0,79
29985217.0,79
37056001.0,79
34359334.0,79
9993063.0,79
21052998.0,79
35236039.0,79
34303597.0,79
36263855.0,79
2429295.0,79
39985393.0,79
19451443.0,79
35231960.0,79
34359866.0,79
30346558.0,79
16001987.0,79
36698456.0,79
27055621.0,79
31899224.0,79
40990317.0,79
27262925.0,79
38186640.0,79
38159538.0,79
33820435.0,79
37091094.0,79
34505176.0,79
38623738.0,79
34546846.0,79
22567457.0,79
29391555.0,79
35823014.0,79
39673607.0,79
38230216.0,79
34897190.0,79
37475339.0,79
38202671.0,79
31221426.0,79
37181426.0,79
40916179.0,79
37488086.0,79
20957208.0,79
39300154.0,79
37811297.0,79
35605764.0,79
28340486.0,79
35128200.0,79
34789562.0,79
37148719.0,79
31627249.0,79
35968242.0,79
22310932.0,79
37142836.0,79
39717911.0,79
23076088.0,79
39480857.0,79
40451005.0,79
34625919.0,79
3945998.0,79
40559074.0,185
32958467.0,185
21278246.0,185
5933672.0,185
39598505.0,185
12916554.0,185
40236458.0,185
35513452.0,185
17345036.0,185
24894540.0,185
8626799.0,185
9543468.0,185
19193521.0,185
34170284.0,185
34684299.0,185
34685327.0,185
31852150.0,185
38822559.0,185
20985600.0,51
16830848.0,51
9319078.0,51
25319591.0,51
6185638.0,51
24222537.0,51
37738.0,51
27832268.0,51
21216556.0,51
18669485.0,51
40899923.0,51
40841844.0,51
33553909.0,51
15553336.0,51
34438873.0,51
32384090.0,51
33453179.0,51
18668702.0,51
4096995.0,51
11460998.0,51
34125386.0,51
584590.0,51
21245329.0,51
34719701.0,51
28045018.0,51
2459132.0,51
29099202.0,45
26102179.0,45
22968963.0,45
20708005.0,45
29002556.0,45
16845862.0,45
24695751.0,45
27649935.0,45
8277434.0,45
15581842.0,45
1313847.0,45
40604956.0,45
20997786.0,45
17992312.0,45
38465785.0,45
23468602.0,45
2570620.0,45
19719550.0,45
18061472.0,45
36391683.0,45
19196326.0,45
22109063.0,45
28586728.0,45
24269769.0,45
24489514.0,45
34282539.0,45
28364650.0,45
20033899.0,45
14197548.0,45
16001970.0,45
36451507.0,45
6375348.0,45
1989590.0,45
28586425.0,45
34207006.0,45
36942847.0,45
37333669.0,45
24462886.0,45
31618117.0,45
29480168.0,45
15043144.0,45
7482058.0,45
22068107.0,45
17906826.0,45
22994251.0,45
13463310.0,45
24908843.0,45
35490860.0,45
29107633.0,45
3696178.0,45
24747283.0,45
15116890.0,45
19959804.0,45
36422429.0,45
13621242.0,45
29548070.0,45
40982472.0,45
32038761.0,45
19739402.0,45
37260522.0,45
34147466.0,45
8770382.0,45
1656336.0,45
39434482.0,45
26256724.0,45
6888244.0,45
38979742.0,45
38531803.0,45
22470940.0,45
31851709.0,45
35489918.0,45
35490591.0,45
14855907.0,45
26198663.0,45
37458087.0,45
25866985.0,45
33636138.0,45
29119402.0,45
24582655.0,45
25861262.0,45
26221841.0,45
28962930.0,45
39474003.0,45
12110676.0,45
33994289.0,45
18749174.0,45
36298356.0,45
40216827.0,45
40610780.0,45
15889919.0,45
40823360.0,45
27403361.0,45
8419716.0,45
39991717.0,45
4567558.0,45
32471144.0,45
10765065.0,45
37941355.0,45
27607180.0,45
33563565.0,45
37202831.0,45
37961231.0,45
39019284.0,45
15874839.0,45
40371128.0,45
39502907.0,45
10034077.0,45
2543231.0,45
39467808.0,45
7805600.0,45
33022753.0,45
17459932.0,45
10518084.0,45
40406249.0,45
21610508.0,45
23729805.0,45
13055148.0,45
35345423.0,45
15889904.0,45
40825681.0,45
4068658.0,45
35879927.0,45
3839128.0,45
40598809.0,45
18855102.0,45
11609854.0,45
37422178.0,45
39693763.0,45
39025506.0,45
20176294.0,45
36529513.0,45
13831978.0,45
39126219.0,45
35195596.0,45
39862089.0,45
39974138.0,45
12111066.0,45
27489353.0,45
40816624.0,45
39991444.0,45
22752279.0,45
23123034.0,45
15022555.0,45
39992255.0,45
20395425.0,45
38001154.0,45
2564678.0,45
37655015.0,45
35007591.0,45
39115977.0,45
21922221.0,45
29660177.0,45
34651154.0,45
15876178.0,45
40313874.0,45
26402837.0,45
29279542.0,45
38047127.0,45
40429715.0,45
14748794.0,45
25762076.0,45
35572927.0,45
40838400.0,45
39130530.0,45
40708741.0,45
8720263.0,45
37785277.0,45
30566056.0,45
1027463.0,45
12774987.0,45
1027405.0,45
13789072.0,45
16194452.0,45
32271285.0,45
5804791.0,45
5785758.0,45
13953596.0,45
38639037.0,45
6900446.0,45
6823231.0,45
30584225.0,45
23056161.0,45
7718819.0,45
29903972.0,45
35532137.0,45
20264618.0,45
21547919.0,45
37380402.0,45
14435027.0,45
28384788.0,45
2042771.0,45
1264180.0,45
24827736.0,45
3453656.0,45
40068473.0,45
32271260.0,45
1027741.0,45
5201023.0,45
7827712.0,45
3351169.0,45
19978276.0,45
9595335.0,45
39793384.0,45
39001772.0,45
20306736.0,45
10515185.0,45
28402457.0,45
11544575.0,45
887038.0,45
28558431.0,45
30134385.0,191
27067453.0,191
6559990.0,191
25278191.0,191
25837954.0,620
13063140.0,620
41103605.0,620
10971010.0,92
21120643.0,92
38162628.0,92
11875074.0,92
39472134.0,92
28367240.0,92
22733482.0,92
8827052.0,92
34574380.0,92
39473358.0,92
12271504.0,92
35299346.0,92
40680627.0,92
14357876.0,92
21565589.0,92
29964536.0,92
18610650.0,92
20861212.0,92
11875005.0,92
15990458.0,146
15114450.0,146
35769538.0,152
34506116.0,152
12039398.0,152
22080106.0,152
29655696.0,152
34914483.0,152
34122651.0,152
34317053.0,152
36903649.0,86
38174946.0,86
36876647.0,86
35868586.0,86
6104268.0,86
29926223.0,86
39704752.0,86
29897713.0,86
21879603.0,86
20462579.0,86
35506453.0,86
3944822.0,86
26664694.0,86
33870168.0,86
31302521.0,86
17070047.0,86
24865372.0,86
39269663.0,86
39254001.0,86
22524066.0,86
40490105.0,86
3924599.0,86
4668682.0,344
39748064.0,350
24204256.0,350
22999010.0,350
26850565.0,350
22584967.0,350
34674151.0,350
11205769.0,350
26134184.0,350
38742123.0,350
21592893.0,350
27550606.0,350
22002128.0,350
35731377.0,350
15230450.0,350
16488400.0,350
22047867.0,350
23684253.0,350
34565182.0,350
23591783.0,423
